folder,proj,eta_v,iters,CV,ports,gen,print
sac-pen,none,none,none,0.5,4,FALSE,output_files/output1766153.log
sac-pd,none,none,none,0.5,4,FALSE,output_files/output2850475.log
ppo-pen,none,none,none,0.5,4,FALSE,output_files/output2850025.log
ppo-pd,none,none,none,0.5,4,FALSE,output_files/output2796519.log
sac-pen,R,none,none,0.5,4,FALSE,output_files/output1740120.log
sac-pd,R,none,none,0.5,4,FALSE,output_files/output2852242.log
ppo-pen,R,none,none,0.5,4,FALSE,output_files/output2850925.log
ppo-pd,R,none,none,0.5,4,FALSE,output_files/output2770945.log
sac-pen,R,none,none,0.5,4,TRUE,output_files/output1752941.log
sac-pd,R,none,none,0.5,4,TRUE,output_files/output2870012.log
ppo-pen,R,none,none,0.5,4,TRUE,output_files/output2878889.log
ppo-pd,R,none,none,0.5,4,TRUE,output_files/output2776243.log
